,city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
11,New York,New York,40.6943,-73.9249,United States,US,USA,New York,,18972871.0,1840034016
33,Los Angeles,Los Angeles,34.1141,-118.4068,United States,US,USA,California,,12121244.0,1840020491
55,Chicago,Chicago,41.8375,-87.6866,United States,US,USA,Illinois,,8595181.0,1840000494
100,Miami,Miami,25.784,-80.2101,United States,US,USA,Florida,,5711945.0,1840015149
104,Dallas,Dallas,32.7935,-96.7667,United States,US,USA,Texas,,5668165.0,1840019440
105,Houston,Houston,29.786,-95.3885,United States,US,USA,Texas,,5650910.0,1840020925
115,Philadelphia,Philadelphia,40.0077,-75.1339,United States,US,USA,Pennsylvania,,5512873.0,1840000673
134,Atlanta,Atlanta,33.7628,-84.422,United States,US,USA,Georgia,admin,5046555.0,1840013660
149,Washington,Washington,38.9047,-77.0163,United States,US,USA,District of Columbia,primary,4810669.0,1840006060
180,Boston,Boston,42.3188,-71.0852,United States,US,USA,Massachusetts,admin,4208580.0,1840000455
187,Phoenix,Phoenix,33.5722,-112.0892,United States,US,USA,Arizona,admin,4047095.0,1840020568
219,Detroit,Detroit,42.3834,-83.1024,United States,US,USA,Michigan,,3522856.0,1840003971
223,Seattle,Seattle,47.6211,-122.3244,United States,US,USA,Washington,,3438221.0,1840021117
237,San Francisco,San Francisco,37.7558,-122.4449,United States,US,USA,California,,3290197.0,1840021543
253,San Diego,San Diego,32.8313,-117.1222,United States,US,USA,California,,3084174.0,1840021990
286,Minneapolis,Minneapolis,44.9635,-93.2678,United States,US,USA,Minnesota,,2856952.0,1840007830
291,Brooklyn,Brooklyn,40.6501,-73.9496,United States,US,USA,New York,,2736074.0,1840034030
303,Tampa,Tampa,27.9945,-82.4447,United States,US,USA,Florida,,2683956.0,1840015982
308,Denver,Denver,39.762,-104.8758,United States,US,USA,Colorado,admin,2650725.0,1840018789
352,Queens,Queens,40.7498,-73.7976,United States,US,USA,New York,,2405464.0,1840034002
379,Baltimore,Baltimore,39.3051,-76.6144,United States,US,USA,Maryland,,2205092.0,1840001592
386,Las Vegas,Las Vegas,36.2333,-115.2654,United States,US,USA,Nevada,,2150373.0,1840020364
397,St. Louis,St. Louis,38.6359,-90.2451,United States,US,USA,Missouri,,2092481.0,1840001651
402,Portland,Portland,45.5371,-122.65,United States,US,USA,Oregon,,2036875.0,1840019941
408,Riverside,Riverside,33.9381,-117.3949,United States,US,USA,California,,2022285.0,1840020551
424,Orlando,Orlando,28.4773,-81.337,United States,US,USA,Florida,,1927699.0,1840015099
426,Sacramento,Sacramento,38.5677,-121.4685,United States,US,USA,California,admin,1924167.0,1840021491
429,San Antonio,San Antonio,29.4632,-98.5238,United States,US,USA,Texas,,1910785.0,1840022220
460,San Jose,San Jose,37.3012,-121.848,United States,US,USA,California,,1729879.0,1840021570
463,Pittsburgh,Pittsburgh,40.4397,-79.9763,United States,US,USA,Pennsylvania,,1720279.0,1840001254
