code,city_state
11,"New York,New York"
33,"Los Angeles,California"
55,"Chicago,Illinois"
100,"Miami,Florida"
104,"Dallas,Texas"
105,"Houston,Texas"
115,"Philadelphia,Pennsylvania"
134,"Atlanta,Georgia"
149,"Washington,District of Columbia"
180,"Boston,Massachusetts"
187,"Phoenix,Arizona"
219,"Detroit,Michigan"
223,"Seattle,Washington"
237,"San Francisco,California"
253,"San Diego,California"
286,"Minneapolis,Minnesota"
291,"Brooklyn,New York"
303,"Tampa,Florida"
308,"Denver,Colorado"
352,"Queens,New York"
379,"Baltimore,Maryland"
386,"Las Vegas,Nevada"
397,"St. Louis,Missouri"
402,"Portland,Oregon"
408,"Riverside,California"
424,"Orlando,Florida"
426,"Sacramento,California"
429,"San Antonio,Texas"
460,"San Jose,California"
463,"Pittsburgh,Pennsylvania"
465,"Cincinnati,Ohio"
469,"Manhattan,New York"
474,"Cleveland,Ohio"
482,"Indianapolis,Indiana"
483,"Austin,Texas"
485,"Kansas City,Missouri"
507,"Columbus,Ohio"
516,"Charlotte,North Carolina"
525,"Virginia Beach,Virginia"
535,"Bronx,New York"
572,"Milwaukee,Wisconsin"
604,"Providence,Rhode Island"
626,"Jacksonville,Florida"
676,"Salt Lake City,Utah"
692,"Nashville,Tennessee"
722,"Raleigh,North Carolina"
737,"Memphis,Tennessee"
752,"Louisville,Kentucky"
761,"Richmond,Virginia"
763,"Buffalo,New York"
913,"Oklahoma City,Oklahoma"
928,"Bridgeport,Connecticut"
960,"New Orleans,Louisiana"
976,"Fort Worth,Texas"
977,"Hartford,Connecticut"
1004,"Tucson,Arizona"
1040,"Honolulu,Hawaii"
1065,"McAllen,Texas"
1067,"Omaha,Nebraska"
1077,"El Paso,Texas"
1080,"Hempstead,New York"
1104,"Albuquerque,New Mexico"
1140,"Rochester,New York"
1153,"Sarasota,Florida"
1164,"Fresno,California"
1170,"Tulsa,Oklahoma"
1174,"Allentown,Pennsylvania"
1181,"Dayton,Ohio"
1187,"Birmingham,Alabama"
1214,"Charleston,South Carolina"
1218,"Cape Coral,Florida"
1284,"Columbia,South Carolina"
1285,"Concord,California"
1301,"Colorado Springs,Colorado"
1322,"Springfield,Massachusetts"
1323,"Knoxville,Tennessee"
1337,"Baton Rouge,Louisiana"
1340,"Ogden,Utah"
1349,"Grand Rapids,Michigan"
1351,"Albany,New York"
1372,"Bakersfield,California"
1376,"Mission Viejo,California"
1378,"New Haven,Connecticut"
1401,"Worcester,Massachusetts"
1437,"Provo,Utah"
1447,"Akron,Ohio"
1485,"Palm Bay,Florida"
1518,"Des Moines,Iowa"
1533,"Murrieta,California"
1569,"Mesa,Arizona"
1578,"Staten Island,New York"
1588,"Wichita,Kansas"
1592,"Toledo,Ohio"
1600,"Brookhaven,New York"
1631,"Harrisburg,Pennsylvania"
1643,"Port St. Lucie,Florida"
1652,"Long Beach,California"
1658,"Reno,Nevada"
1662,"Madison,Wisconsin"
1673,"Little Rock,Arkansas"
1689,"Greenville,South Carolina"
1699,"Denton,Texas"
1713,"Spokane,Washington"
1721,"Oakland,California"
1740,"Lancaster,Pennsylvania"
1760,"Poughkeepsie,New York"
1762,"Boise,Idaho"
1771,"Winston-Salem,North Carolina"
1784,"Syracuse,New York"
1811,"Augusta,Georgia"
1822,"Stockton,California"
1829,"Palm Coast,Florida"
1830,"Chattanooga,Tennessee"
1840,"Kissimmee,Florida"
1841,"Durham,North Carolina"
1868,"Arlington,Texas"
1879,"Victorville,California"
1905,"Aurora,Colorado"
1907,"Modesto,California"
1914,"Lancaster,California"
1915,"Fayetteville,Arkansas"
1927,"Scranton,Pennsylvania"
1968,"Oxnard,California"
1977,"Youngstown,Ohio"
1986,"Indio,California"
1993,"Pensacola,Florida"
2064,"Anaheim,California"
2067,"Bonita Springs,Florida"
2080,"Greensboro,North Carolina"
2106,"Islip,New York"
2111,"Huntsville,Alabama"
2138,"Corpus Christi,Texas"
2154,"Fort Wayne,Indiana"
2163,"Fayetteville,North Carolina"
2167,"Ann Arbor,Michigan"
2174,"Jackson,Mississippi"
2199,"Antioch,California"
2204,"Mobile,Alabama"
2208,"Lexington,Kentucky"
2238,"Asheville,North Carolina"
2240,"Trenton,New Jersey"
2248,"Santa Rosa,California"
2253,"Santa Ana,California"
2259,"Lansing,Michigan"
2272,"Henderson,Nevada"
2279,"St. Paul,Minnesota"
2283,"Lakeland,Florida"
2299,"Newark,New Jersey"
2323,"Fort Collins,Colorado"
2331,"Oyster Bay,New York"
2349,"Reading,Pennsylvania"
2350,"Springfield,Missouri"
2359,"Irvine,California"
2389,"Anchorage,Alaska"
2390,"The Woodlands,Texas"
2398,"South Bend,Indiana"
2406,"Rockford,Illinois"
2407,"Savannah,Georgia"
2413,"Lincoln,Nebraska"
2422,"Jersey City,New Jersey"
2424,"Round Lake Beach,Illinois"
2431,"Flint,Michigan"
2434,"Shreveport,Louisiana"
2455,"Plano,Texas"
2462,"Myrtle Beach,South Carolina"
2470,"Davenport,Iowa"
2487,"Canton,Ohio"
2498,"Santa Clarita,California"
2502,"Chula Vista,California"
2510,"Eugene,Oregon"
2519,"Chandler,Arizona"
2547,"Salem,Oregon"
2580,"Concord,North Carolina"
2597,"Gilbert,Arizona"
2599,"Columbus,Georgia"
2614,"Lubbock,Texas"
2617,"North Las Vegas,Nevada"
2626,"St. Petersburg,Florida"
2630,"Tallahassee,Florida"
2638,"Laredo,Texas"
2649,"Peoria,Illinois"
2664,"Avondale,Arizona"
2665,"Lafayette,Louisiana"
2667,"Irving,Texas"
2669,"Montgomery,Alabama"
2713,"Visalia,California"
2722,"McKinney,Texas"
2738,"Wilmington,North Carolina"
2741,"Chesapeake,Virginia"
2755,"Glendale,Arizona"
2757,"Garland,Texas"
2785,"Kennewick,Washington"
2791,"Winter Haven,Florida"
2816,"Scottsdale,Arizona"
2818,"Norfolk,Virginia"
2821,"Killeen,Texas"
2837,"North Hempstead,New York"
2838,"York,Pennsylvania"
2839,"Atlantic City,New Jersey"
2845,"Nashua,New Hampshire"
2847,"Arlington,Virginia"
2848,"Brownsville,Texas"
2895,"Fremont,California"
2897,"Gulfport,Mississippi"
2939,"Evansville,Indiana"
2966,"Hialeah,Florida"
2969,"Navarre,Florida"
2983,"Bel Air South,Maryland"
2995,"North Port,Florida"
3004,"San Bernardino,California"
3005,"Portland,Maine"
3023,"Enterprise,Nevada"
3024,"Bremerton,Washington"
3026,"Green Bay,Wisconsin"
3042,"Appleton,Wisconsin"
3046,"Babylon,New York"
3050,"Spring Valley,Nevada"
3053,"Tacoma,Washington"
3072,"Spartanburg,South Carolina"
3077,"Roanoke,Virginia"
3104,"Gainesville,Florida"
3115,"Deltona,Florida"
3127,"Kalamazoo,Michigan"
3138,"Thousand Oaks,California"
3139,"Hickory,North Carolina"
3159,"Yonkers,New York"
3173,"Moreno Valley,California"
3178,"Fontana,California"
3185,"College Station,Texas"
3189,"Fargo,North Dakota"
3224,"Amarillo,Texas"
3230,"Huntington,New York"
3262,"Norwich,Connecticut"
3275,"Olympia,Washington"
3289,"Waterbury,Connecticut"
3292,"Salinas,California"
3293,"Huntington,West Virginia"
3299,"Huntington Beach,California"
3300,"Clarksville,Tennessee"
3309,"Santa Barbara,California"
3341,"Glendale,California"
3344,"Sunrise Manor,Nevada"
3351,"Grand Prairie,Texas"
3364,"Overland Park,Kansas"
3373,"Hagerstown,Maryland"
3375,"Nampa,Idaho"
3381,"Gastonia,North Carolina"
3397,"Frisco,Texas"
3403,"Cedar Rapids,Iowa"
3421,"Hemet,California"
3441,"Paradise,Nevada"
3446,"Sioux Falls,South Dakota"
3459,"Vancouver,Washington"
3471,"Peoria,Arizona"
3480,"Waco,Texas"
3485,"Lorain,Ohio"
3486,"Erie,Pennsylvania"
3505,"Newport News,Virginia"
3526,"Aurora,Illinois"
3545,"Fort Lauderdale,Florida"
3549,"Vallejo,California"
3560,"Murfreesboro,Tennessee"
3596,"Spring Hill,Florida"
3609,"Tempe,Arizona"
3610,"High Point,North Carolina"
3614,"Medford,Oregon"
3621,"Danbury,Connecticut"
3661,"Elk Grove,California"
3670,"Ontario,California"
3673,"Frederick,Maryland"
3679,"Vero Beach South,Florida"
3682,"Ocala,Florida"
3685,"Oceanside,California"
3695,"Rancho Cucamonga,California"
3717,"Garden Grove,California"
3734,"Cary,North Carolina"
3754,"Pembroke Pines,Florida"
3793,"Palmdale,California"
3800,"Manchester,New Hampshire"
3813,"Lafayette,Indiana"
3830,"Santa Cruz,California"
3856,"Marysville,Washington"
3862,"Muskegon,Michigan"
3895,"Springfield,Illinois"
3901,"Hayward,California"
3990,"New Bedford,Massachusetts"
3995,"Alexandria,Virginia"
4000,"Paterson,New Jersey"
4002,"Corona,California"
4008,"Merced,California"
4014,"Warner Robins,Georgia"
4020,"Port Arthur,Texas"
4027,"Macon,Georgia"
4048,"Kansas City,Kansas"
4052,"Lakewood,Colorado"
4055,"Sunnyvale,California"
4063,"Fredericksburg,Virginia"
4086,"Leesburg,Florida"
4113,"Champaign,Illinois"
4137,"Hollywood,Florida"
4151,"Pasadena,Texas"
4160,"Pomona,California"
4163,"Escondido,California"
4192,"Joliet,Illinois"
4203,"Lake Charles,Louisiana"
4206,"Mesquite,Texas"
4210,"Mauldin,South Carolina"
4216,"Panama City,Florida"
4217,"Bellevue,Washington"
4228,"Naperville,Illinois"
4238,"Harlingen,Texas"
4239,"Tuscaloosa,Alabama"
4259,"Elkhart,Indiana"
4268,"Torrance,California"
4270,"Ramapo,New York"
4279,"Binghamton,New York"
4283,"Houma,Louisiana"
4288,"Topeka,Kansas"
4312,"Roseville,California"
4326,"Fairfield,California"
4346,"Tyler,Texas"
4373,"Fullerton,California"
4378,"Pueblo,Colorado"
4387,"Athens,Georgia"
4388,"Santa Maria,California"
4398,"Surprise,Arizona"
4407,"Charleston,West Virginia"
4413,"Las Cruces,New Mexico"
4430,"Metairie,Louisiana"
4431,"Thornton,Colorado"
4437,"Olathe,Kansas"
4459,"Gainesville,Georgia"
4463,"West Valley City,Utah"
4467,"Orange,California"
4475,"Warren,Michigan"
4481,"Pasadena,California"
4510,"Beaumont,Texas"
4525,"Burlington,North Carolina"
4539,"Hampton,Virginia"
4541,"Columbia,Missouri"
4567,"Yuma,Arizona"
4572,"Elizabeth,New Jersey"
4584,"Racine,Wisconsin"
4586,"Greeley,Colorado"
4600,"Kent,Washington"
4604,"Stamford,Connecticut"
4605,"Odessa,Texas"
4615,"Bloomington,Illinois"
4618,"Miramar,Florida"
4622,"Grand Junction,Colorado"
4623,"Sterling Heights,Michigan"
4633,"Coral Springs,Florida"
4671,"Johnson City,Tennessee"
4683,"Carrollton,Texas"
4707,"Midland,Texas"
4717,"Yakima,Washington"
4726,"Lakewood,New Jersey"
4740,"Bellingham,Washington"
4741,"Yuba City,California"
4768,"Amherst,New York"
4793,"South Lyon,Michigan"
4803,"Santa Clara,California"
4804,"St. George,Utah"
4812,"Fort Smith,Arkansas"
4828,"Simi Valley,California"
4865,"Dover,Delaware"
4869,"Norman,Oklahoma"
4882,"Abilene,Texas"
4898,"Billings,Montana"
4939,"Lehigh Acres,Florida"
4946,"St. Cloud,Minnesota"
4959,"Kenosha,Wisconsin"
4969,"Greenville,North Carolina"
4971,"Arvada,Colorado"
4980,"Pearland,Texas"
4991,"Independence,Missouri"
4996,"Texas City,Texas"
5013,"Redding,California"
5036,"Lynchburg,Virginia"
5038,"Boulder,Colorado"
5071,"Iowa City,Iowa"
5081,"Rochester,Minnesota"
5085,"Berkeley,California"
5090,"Waldorf,Maryland"
5099,"The Villages,Florida"
5111,"Duluth,Minnesota"
5112,"East Los Angeles,California"
5116,"Saginaw,Michigan"
5135,"Clovis,California"
5146,"Leominster,Massachusetts"
5162,"Round Rock,Texas"
5191,"Monroe,Louisiana"
5206,"Cambridge,Massachusetts"
5218,"Clearwater,Florida"
5223,"Smithtown,New York"
5238,"Seaside,California"
5243,"West Jordan,Utah"
5250,"Richardson,Texas"
5253,"West Palm Beach,Florida"
5254,"Temple,Texas"
5258,"Burlington,Vermont"
5259,"Richmond,California"
5265,"Westminster,Colorado"
5269,"Pottstown,Pennsylvania"
5272,"Brandon,Florida"
5275,"Rock Hill,South Carolina"
5278,"Meridian,Idaho"
5290,"Coeur d'Alene,Idaho"
5291,"Carlsbad,California"
5295,"Lowell,Massachusetts"
5300,"Waterloo,Iowa"
5304,"North Charleston,South Carolina"
5314,"Gilroy,California"
5318,"Downey,California"
5320,"Gresham,Oregon"
5322,"Elgin,Illinois"
5377,"Utica,New York"
5383,"Broken Arrow,Oklahoma"
5417,"Costa Mesa,California"
5418,"Chico,California"
5425,"Sioux City,Iowa"
5432,"League City,Texas"
5436,"Miami Gardens,Florida"
5451,"Pompano Beach,Florida"
5489,"San Buenaventura,California"
5493,"Everett,Washington"
5495,"El Centro,California"
5503,"Sugar Land,Texas"
5507,"El Monte,California"
5513,"Lewisville,Texas"
5547,"West Covina,California"
5549,"Temecula,California"
5554,"Bend,Oregon"
5565,"Salisbury,Maryland"
5585,"Jacksonville,North Carolina"
5598,"Inglewood,California"
5605,"Dearborn,Michigan"
5606,"Centennial,Colorado"
5630,"Burbank,California"
5650,"Edison,New Jersey"
5652,"Sparks,Nevada"
5666,"Sandy Springs,Georgia"
5678,"Bloomington,Indiana"
5679,"Logan,Utah"
5685,"Kailua,Hawaii"
5689,"El Cajon,California"
5699,"Hillsboro,Oregon"
5716,"South Fulton,Georgia"
5728,"Renton,Washington"
5744,"Mandeville,Louisiana"
5745,"San Mateo,California"
5746,"Columbia,Maryland"
5755,"Daly City,California"
5760,"Davie,Florida"
5764,"Jurupa Valley,California"
5787,"Brockton,Massachusetts"
5798,"Longmont,Colorado"
5810,"Rialto,California"
5827,"Eau Claire,Wisconsin"
5838,"Turlock,California"
5839,"Woodbridge,New Jersey"
5840,"Norwalk,California"
5848,"Highlands Ranch,Colorado"
5871,"Allen,Texas"
5880,"Wichita Falls,Texas"
5886,"Rio Rancho,New Mexico"
5893,"Vacaville,California"
5898,"Spokane Valley,Washington"
5899,"Charlottesville,Virginia"
5931,"Idaho Falls,Idaho"
5939,"Menifee,California"
5953,"Lee's Summit,Missouri"
5962,"Quincy,Massachusetts"
5974,"San Angelo,Texas"
5976,"Lynn,Massachusetts"
5977,"Holland,Michigan"
5994,"Santa Fe,New Mexico"
6005,"Vista,California"
6035,"Orem,Utah"
6045,"Sunrise,Florida"
6048,"Compton,California"
6054,"Arden-Arcade,California"
6098,"South Gate,California"
6104,"Santa Monica,California"
6123,"Westminster,California"
6127,"San Leandro,California"
6154,"Germantown,Maryland"
6160,"Bismarck,North Dakota"
6168,"Clifton,New Jersey"
6181,"State College,Pennsylvania"
6196,"Hawthorne,California"
6199,"Lawrence,Massachusetts"
6202,"Citrus Heights,California"
6206,"Whittier,California"
6228,"Deerfield Beach,Florida"
6250,"Upper Darby,Pennsylvania"
6251,"Cicero,Illinois"
6265,"Pine Hills,Florida"
6273,"Buena Park,California"
6283,"Miami Beach,Florida"
6291,"Alhambra,California"
6300,"Silver Spring,Maryland"
6301,"Lakewood,California"
6302,"Mountain View,California"
6338,"New Rochelle,New York"
6344,"Lebanon,Pennsylvania"
6345,"Somerville,Massachusetts"
6361,"Tustin,California"
6369,"Milpitas,California"
6379,"Bellflower,California"
6391,"Evanston,Illinois"
6399,"Alameda,California"
6440,"Cheyenne,Wyoming"
6444,"Watsonville,California"
6463,"Davis,California"
6467,"Pawtucket,Rhode Island"
6499,"New Britain,Connecticut"
6500,"Lauderhill,Florida"
6523,"Centreville,Virginia"
6529,"Mount Vernon,New York"
6530,"Baldwin Park,California"
